2017-09-21 10:26:36.030 INFO  [ModuleRegistry-8] - Module INITIALIZING
2017-09-21 10:26:36.539 INFO  [ModuleRegistry-8] - Module INITIALIZED
2017-09-21 10:26:36.581 INFO  [ModuleRegistry-8] - Module STARTING
2017-09-21 10:26:36.664 INFO  [ModuleRegistry-8] - Module STARTED
2017-09-21 10:33:24.783 INFO  [ModuleRegistry-7] - 
2017-09-21 10:33:24.783 INFO  [ModuleRegistry-7] - *************************************************
2017-09-21 10:33:24.783 INFO  [ModuleRegistry-7] - SensorHub Restarted
2017-09-21 10:33:24.783 INFO  [ModuleRegistry-7] - Starting log for 'Motion - Northwest' [urn:osh:client:e4bc1957-a74a-485f-9317-b5f5646f6d1d]
2017-09-21 10:33:24.783 INFO  [ModuleRegistry-7] - Module INITIALIZING
2017-09-21 10:33:25.278 INFO  [ModuleRegistry-7] - Module INITIALIZED
2017-09-21 10:33:25.344 INFO  [ModuleRegistry-7] - Module STARTING
2017-09-21 10:33:25.557 INFO  [ModuleRegistry-7] - Module STARTED
2017-09-21 10:38:03.660 INFO  [ModuleRegistry-8] - 
2017-09-21 10:38:03.661 INFO  [ModuleRegistry-8] - *************************************************
2017-09-21 10:38:03.662 INFO  [ModuleRegistry-8] - SensorHub Restarted
2017-09-21 10:38:03.662 INFO  [ModuleRegistry-8] - Starting log for 'Motion - Northwest' [urn:osh:client:e4bc1957-a74a-485f-9317-b5f5646f6d1d]
2017-09-21 10:38:03.662 INFO  [ModuleRegistry-8] - Module INITIALIZING
2017-09-21 10:38:03.946 INFO  [ModuleRegistry-8] - Module INITIALIZED
2017-09-21 10:38:04.098 INFO  [ModuleRegistry-8] - Module STARTING
2017-09-21 10:38:04.338 INFO  [ModuleRegistry-8] - Module STARTED
2017-09-21 10:50:49.824 INFO  [ModuleRegistry-8] - 
2017-09-21 10:50:49.825 INFO  [ModuleRegistry-8] - *************************************************
2017-09-21 10:50:49.825 INFO  [ModuleRegistry-8] - SensorHub Restarted
2017-09-21 10:50:49.826 INFO  [ModuleRegistry-8] - Starting log for 'Motion - Northwest' [urn:osh:client:e4bc1957-a74a-485f-9317-b5f5646f6d1d]
2017-09-21 10:50:49.826 INFO  [ModuleRegistry-8] - Module INITIALIZING
2017-09-21 10:50:50.358 INFO  [ModuleRegistry-8] - Module INITIALIZED
2017-09-21 10:50:50.433 INFO  [ModuleRegistry-8] - Module STARTING
2017-09-21 10:50:50.565 INFO  [ModuleRegistry-8] - Module STARTED
2017-09-21 10:52:35.721 INFO  [ModuleRegistry-8] - 
2017-09-21 10:52:35.722 INFO  [ModuleRegistry-8] - *************************************************
2017-09-21 10:52:35.722 INFO  [ModuleRegistry-8] - SensorHub Restarted
2017-09-21 10:52:35.722 INFO  [ModuleRegistry-8] - Starting log for 'Motion - Northwest' [urn:osh:client:e4bc1957-a74a-485f-9317-b5f5646f6d1d]
2017-09-21 10:52:35.722 INFO  [ModuleRegistry-8] - Module INITIALIZING
2017-09-21 10:52:36.237 INFO  [ModuleRegistry-8] - Module INITIALIZED
2017-09-21 10:52:36.260 INFO  [ModuleRegistry-8] - Module STARTING
2017-09-21 10:52:36.312 INFO  [ModuleRegistry-8] - Module STARTED
2017-09-21 10:54:28.209 INFO  [ModuleRegistry-8] - 
2017-09-21 10:54:28.210 INFO  [ModuleRegistry-8] - *************************************************
2017-09-21 10:54:28.210 INFO  [ModuleRegistry-8] - SensorHub Restarted
2017-09-21 10:54:28.210 INFO  [ModuleRegistry-8] - Starting log for 'Motion - Northwest' [urn:osh:client:e4bc1957-a74a-485f-9317-b5f5646f6d1d]
2017-09-21 10:54:28.210 INFO  [ModuleRegistry-8] - Module INITIALIZING
2017-09-21 10:54:28.784 INFO  [ModuleRegistry-8] - Module INITIALIZED
2017-09-21 10:54:28.888 INFO  [ModuleRegistry-8] - Module STARTING
2017-09-21 10:54:29.035 INFO  [ModuleRegistry-8] - Module STARTED
2017-09-21 10:54:59.677 INFO  [ModuleRegistry-8] - 
2017-09-21 10:54:59.678 INFO  [ModuleRegistry-8] - *************************************************
2017-09-21 10:54:59.678 INFO  [ModuleRegistry-8] - SensorHub Restarted
2017-09-21 10:54:59.679 INFO  [ModuleRegistry-8] - Starting log for 'Motion - Northwest' [urn:osh:client:e4bc1957-a74a-485f-9317-b5f5646f6d1d]
2017-09-21 10:54:59.679 INFO  [ModuleRegistry-8] - Module INITIALIZING
